@id,label,type,notation,member,member.label
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/A,AGRICULTURE,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,A,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/AE|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/AF|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/AZ|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/AC|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/AD|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/AA|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/AB,AGRICULTURE - WATER CRESS FARMING|AGRICULTURE - FISH FARMING - WATER COMPANY|AGRICULTURE - SITE DRAINAGE|AGRICULTURE - UNSPECIFIED|AGRICULTURE - FISH FARMING - NOT WATER COMPANY|AGRICULTURE - ARABLE FARMING|AGRICULTURE - LIVESTOCK FARMING
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/Z,EXEMPTION,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,Z,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/ZZ,UNSPECIFIED
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/F,FRESHWATER,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,F,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FZ|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FA|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FD|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FE|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FB|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FC|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FH|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FI|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FF|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FG|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FL|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FJ|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/FK|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/F1|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/F4|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/F5|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/F2|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/F3|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/F6,OBSOLETE (F2)|OBSOLETE (F3)|OBSOLETE (F4)|OBSOLETE (F5)|FRESHWATER - RIVERS|OBSOLETE (F1)|FRESHWATER - LAKES/PONDS/RESERVOIRS|FRESHWATER - CANALS|FRESHWATER - UNSPECIFIED|FRESHWATER - RIVER AUGMENTATION|FRESHWATER - RIVER TRANSFER|OBSOLETE (FE)|FRESHWATER - COMPARATIVE INLET POINTS|FRESHWATER - LAND DRAINS|FRESHWATER - BATHING WATER|OBSOLETE (FF)|OBSOLETE (FG)|OBSOLETE (FH)|OBSOLETE (FI)
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/B,GROUNDWATER,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,B,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/BH|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/BL|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/BZ|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/BA|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/BD|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/BE|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/BB|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/BC,GROUNDWATER - UNSPECIFIED|GROUNDWATER - EXTERNAL TO LANDFILL SITE|GROUNDWATER - SPRING|GROUNDWATER - WELLS & ADITS|GROUNDWATER - LANDFILL SITE|GROUNDWATER - COMPOSITE|GROUNDWATER - PIT|GROUNDWATER - BOREHOLE
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/M,MINEWATER,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,M,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/MA,MINEWATER
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/D,MISCELLANEOUS DISCHARGES,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,D,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/DB|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/DZ|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/DC|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/DA|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/DD|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/DE,MISCELLANEOUS DISCHARGES - UNSPECIFIED|MISCELLANEOUS DISCHARGES - EMERGENCY DISCHARGES|MISCELLANEOUS DISCHARGES - SWIMMING POOL WATER|MISCELLANEOUS DISCHARGES - SURFACE WATER|MISCELLANEOUS DISCHARGES - MINE/GROUNDWATER AS RAISED|MISCELLANEOUS DISCHARGES - HIGHWAY DRAINAGE
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/E,MISCELLANEOUS ENVIRONMENT,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,E,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/EA|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/EZ|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/EB,MISCELLANEOUS ENVIRONMENT - SEDIMENTS|MISCELLANEOUS ENVIRONMENT - SOILS|MISCELLANEOUS ENVIRONMENT - UNSPECIFIED
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/P,POLLUTION/INVESTIGATION POINTS,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,P,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/PW|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/PD|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/PE|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/PI,POLLUTION/INVESTIGATION POINTS - DISCHARGES|POLLUTION/INVESTIGATION POINTS - WITHIN PROCESS|POLLUTION/INVESTIGATION POINTS - ENVIRONMENT|POLLUTION/INVESTIGATION POINTS - WASTE
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/N,RAINWATER,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,N,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/NA,RAINWATER
http://environment.data.gov.uk/water-quality/def/sampling-point-type-groups/C,SALINE WATER,http://environment.data.gov.uk/water-quality/def/sampling-point/SamplingPointTypeGroup|http://www.w3.org/2004/02/skos/core#Collection,C,http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/CG|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/C1|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/CA|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/CB|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/C2|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/CE|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/CF|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/C3|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/CC|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/C4|http://environment.data.gov.uk/registry/def/water-quality/sampling_point_types/CD,SALINE WATER - DESIGNATED BATHING BEACHES|SALINE WATER - COMPARATIVE INLET POINT|SALINE WATER - ESTUARINE SITES - NON BATHING/SHELLFISH|SALINE WATER - ESTUARY - CLASS C|SALINE WATER - ESTUARY - CLASS D|SALINE WATER - ESTUARY - CLASS A|SALINE WATER - DESIGNATED SHELLFISHERIES|SALINE WATER - ESTUARY - CLASS B|SALINE WATER - ESTUARINE SITES - CORRECTED|SALINE WATER - NON DESIGNATED BATHING BEACHES|SALINE WATER - COASTAL SITES - NON BATHING/SHELLFISH
